learning_rate,num_leaves,max_depth,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,best_iter,valid_MAE
0.1,31,8,600,20,0.8,0.8,0.1,1.0,91,412.5937
0.1,63,-1,600,20,0.8,0.8,0.0,1.0,68,412.7041
0.1,63,-1,300,20,0.8,0.8,0.1,1.0,68,412.7041
0.1,63,-1,300,20,0.8,0.8,0.0,1.0,68,412.7041
0.1,63,-1,600,20,0.8,0.8,0.1,1.0,68,412.7041
0.03,127,8,600,20,0.8,0.8,0.1,1.0,246,413.6611
0.03,127,8,300,20,0.8,0.8,0.1,1.0,246,413.6611
0.1,63,5,600,20,0.8,0.8,0.1,1.0,115,416.2514
0.1,63,5,300,20,0.8,0.8,0.1,1.0,115,416.2514
0.1,127,5,600,20,0.8,0.8,0.1,1.0,115,416.2514
0.1,31,5,600,20,0.8,0.8,0.1,1.0,115,416.2514
0.1,31,5,300,20,0.8,0.8,0.1,1.0,115,416.2514
0.1,127,5,300,20,0.8,0.8,0.1,1.0,115,416.2514
0.1,63,5,600,20,0.8,0.8,0.0,1.0,115,416.2515
0.1,63,5,300,20,0.8,0.8,0.0,1.0,115,416.2515
0.1,31,5,600,20,0.8,0.8,0.0,1.0,115,416.2515
0.1,31,5,300,20,0.8,0.8,0.0,1.0,115,416.2515
0.1,127,5,600,20,0.8,0.8,0.0,1.0,115,416.2515
0.1,127,5,300,20,0.8,0.8,0.0,1.0,115,416.2515
0.03,127,-1,300,20,0.8,0.8,0.1,1.0,300,418.0261
0.03,127,-1,600,20,0.8,0.8,0.1,1.0,275,418.3769
0.05,127,-1,300,20,0.8,0.8,0.0,1.0,129,423.2298
0.05,127,-1,600,20,0.8,0.8,0.0,1.0,129,423.2298
0.1,127,-1,300,20,0.8,0.8,0.1,1.0,71,424.0446
0.1,127,-1,600,20,0.8,0.8,0.1,1.0,71,424.0446
0.1,127,-1,300,20,0.8,0.8,0.0,1.0,71,424.0448
0.1,127,-1,600,20,0.8,0.8,0.0,1.0,71,424.0448
0.05,127,-1,600,20,0.8,0.8,0.1,1.0,179,424.5875
0.05,127,-1,300,20,0.8,0.8,0.1,1.0,179,424.5875
0.03,127,-1,600,20,0.8,0.8,0.0,1.0,214,425.7347
0.03,127,-1,300,20,0.8,0.8,0.0,1.0,214,425.7347
