term_index,feature,effect_range,x_min,x_max
23,price_rolling_4,18436.773315267335,2.979179834625426,5.7285284308715205
7,rolling_mean_4,18134.042767288403,794.25,33254.75
22,avg_price,17230.724868789588,2.97721919302072,5.75208722741433
5,lag_4,9719.171750930273,703.0,37472.0
9,rolling_mean_8,9219.990039345976,820.0,32479.125
